n;r;a;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
10;200.00;0;1;10;0.95;76;7600;7600;0.0009618625044822693;185.08540635185702;309.8620210532099;138.31815335053432;0
10;200.00;0;2;10;0.95;76;7600;7600;0.0009439047425985336;113.14947844975988;276.52744727395475;107.74361144349629;0
10;200.00;0;3;10;0.95;76;7600;7600;0.0008555836975574493;104.38833287949618;314.3504937682301;100.16459275072167;0
10;200.00;1;0;10;0.95;76;7600;6893;0.0008672643452882767;182.99188104382597;307.1944410149008;158.67903847122483;0
10;200.00;1;1;10;0.95;76;7600;7600;0.0009194221347570419;136.46938988274883;443.78714635781944;135.6227613630017;0
10;200.00;1;2;10;0.95;76;7600;7600;0.0007879864424467087;109.42382881224992;193.36364181526005;108.7182710394936;0
10;200.00;1;3;10;0.95;76;7600;7600;0.0007659699767827988;106.543713298803;233.20678008534014;101.19231994354095;0
15;25.00;0;0;15;0.95;116;11600;11600;0.0010047610849142075;871.0964242246677;538.0811258908361;831.8628434755841;0
15;25.00;0;1;15;0.95;116;11600;11600;0.0024066101759672165;752.1694307147934;390.9264143835753;587.9574880259582;0
15;25.00;0;2;15;0.95;116;11600;11600;0.0010819192975759506;985.9337891286392;399.92117348127067;779.2000022100262;0
15;25.00;0;3;15;0.95;116;11600;11600;0.0010413695126771927;997.2327184878611;417.815815737471;800.7392745485705;0
15;25.00;1;0;15;0.95;116;11600;11600;0.0009321682155132294;882.0263010877937;326.7934353835881;733.2948930150951;0
15;25.00;1;1;15;0.95;116;11600;11600;0.0010816361755132675;953.4447843177422;536.9596504364163;811.8669179828314;0
15;25.00;1;2;15;0.95;116;11600;11600;0.0011148974299430847;847.576439598999;563.0820090491325;649.8300525678472;0
15;25.00;1;3;15;0.95;116;11600;11600;0.0008248370140790939;662.604966855982;402.04653748497367;561.9833539243116;0
15;50.00;0;0;15;0.95;116;11600;11600;0.001232203096151352;634.7988856058408;448.7062053885311;542.5681577749936;0
15;50.00;0;1;15;0.95;116;11600;11600;0.0011630263179540634;363.3787885644353;544.4009367953986;309.19049441368355;0
15;50.00;0;2;15;0.95;116;11600;11600;0.0011037793010473251;382.81576545887344;411.7641319409013;353.08036863080486;0
15;50.00;0;3;15;0.95;116;11600;11600;0.0011734534054994583;611.0877749651131;462.4148190524429;391.47688402661186;0
15;50.00;1;0;15;0.95;116;11600;11600;0.0011528357863426208;349.7757279127395;520.4047442059964;322.2593152199506;0
15;50.00;1;1;15;0.95;116;11600;10;0.0012010987848043442;793.1402736546024;2.176846943795681;793.1402736546024;203.92857041833037
15;50.00;1;2;15;0.95;116;11600;11600;0.0010958649218082428;626.65634343305;436.8379197809845;589.8632933654881;0
15;50.00;1;3;15;0.95;116;11600;11600;0.0010902322828769684;399.44987169369205;392.01032000407577;347.2644796541789;0
15;100.00;0;0;15;0.95;116;11600;11600;0.001100488007068634;250.0566610590372;427.8267383463681;239.25970308117343;0
15;100.00;0;1;15;0.95;116;11600;11600;0.001368669793009758;338.12103129139643;507.91172310337424;331.213323884827;0
15;100.00;0;2;15;0.95;116;11600;11600;0.0011714305728673935;348.7098095280329;643.9334934279323;314.3327566290236;0
15;100.00;0;3;15;0.95;116;11600;11600;0.0012381896376609802;342.4433200809258;479.2132371328771;288.9704286851211;0
15;100.00;1;0;15;0.95;116;11600;11600;0.0015937034040689468;299.0822032778156;542.2378281038254;279.5839519913418;0
15;100.00;1;1;15;0.95;116;11600;11600;0.001093721017241478;408.68156183874055;671.8552493993193;341.46045863658037;0
15;100.00;1;2;15;0.95;116;11600;4;0.001066211611032486;520.7193424041038;2.3045435827225447;520.7193424041038;231.27290052746983
15;100.00;1;3;15;0.95;116;11600;11600;0.0010265950113534927;296.06013240967565;546.1133432481438;259.8626843762388;0
15;200.00;0;0;15;0.95;116;11600;11600;0.0012426003813743591;181.15625418771774;579.0603975299746;168.24213458825824;0
15;200.00;0;1;15;0.95;116;11600;11600;0.0011440422385931015;259.09341287580503;881.6343565918505;253.88233259594543;0
15;200.00;0;2;15;0.95;116;11600;11600;0.001431914046406746;151.02131922085047;702.944941367954;143.5065096153357;0
15;200.00;0;3;15;0.95;116;11600;11600;0.0013080239295959473;243.81211276515992;549.864995021373;237.7138022995192;0
15;200.00;1;0;15;0.95;116;11600;11600;0.0012213997542858124;199.14921832432458;646.9675018060952;179.8488602173399;0
15;200.00;1;1;15;0.95;116;11600;11600;0.0013172589242458344;207.30062024379552;526.0122186727822;198.09508950137575;0
15;200.00;1;2;15;0.95;116;11600;11600;0.0013078581541776657;165.41245126314044;565.7928811665624;160.3400502506916;0
15;200.00;1;3;15;0.95;116;11600;11600;0.0013422518968582153;254.75657080514304;556.8636552225798;244.40818435084472;0
20;25.00;0;0;20;0.95;156;15600;15600;0.0013555865734815598;1643.6635673298667;862.1912196781486;1125.552945955709;0
20;25.00;0;1;20;0.95;156;15600;15600;0.0013767220079898834;1771.978997813151;685.2170413266867;1343.8890425605423;0
20;25.00;0;2;20;0.95;156;15600;15600;0.0026714950799942017;1197.753200254587;877.706858722493;1012.1817066265355;0
20;25.00;0;3;20;0.95;156;15600;15600;0.0014240462332963943;1784.4219064468846;732.7803767751902;1518.3582318904093;111.21000000000164
20;25.00;1;0;20;0.95;156;15600;15600;0.0014600474387407303;1195.6473879965115;776.5141825582832;995.6370606174065;1.9420000000000925
20;25.00;1;1;20;0.95;156;15600;15600;0.0013466961681842804;1768.3652546954836;797.7165087461472;1316.269524818326;0
20;25.00;1;2;20;0.95;156;15600;15600;0.0013937652111053467;1399.4078340706508;549.4072431903332;1094.5205256302115;0
20;25.00;1;3;20;0.95;156;15600;15600;0.0013215001672506332;1123.7638992071943;702.069676361978;991.1997530304668;0
20;50.00;0;0;20;0.95;156;15600;15600;0.0013133808970451355;827.2677111696995;752.7666479926556;657.7607225168741;0
20;50.00;0;1;20;0.95;156;15600;15600;0.0015774425119161606;951.320551996536;712.1632585134357;766.5893117816314;0
20;50.00;0;2;20;0.95;156;15600;15600;0.001271471381187439;620.5716092849834;809.6375930588692;590.1861959973932;0
20;50.00;0;3;20;0.95;156;15600;15600;0.0014008618891239166;1049.8069854270166;710.3421149626374;729.5075452451977;0
20;50.00;1;0;20;0.95;156;15600;15600;0.0013233274221420288;635.5539894807667;678.5923872422427;571.4802315856363;0
